class,configuration_id,experiment_id,f1,precision,recall,stage,support,task
blocker,S6-C0.25,46e7c5ef6c5eba9e8296,0.15352260778128285,0.1123076923076923,0.2425249169435216,A2.1,903,S6
critical,S6-C0.25,46e7c5ef6c5eba9e8296,0.1378452351331177,0.12377122430741734,0.15553060078607525,A2.1,1781,S6
major,S6-C0.25,46e7c5ef6c5eba9e8296,0.1935838277301692,0.22770741793745153,0.16835467227211925,A2.1,5233,S6
normal,S6-C0.25,46e7c5ef6c5eba9e8296,0.822627329507947,0.8125188083057479,0.8329905388728918,A2.1,38896,S6
minor,S6-C0.25,46e7c5ef6c5eba9e8296,0.11267605633802817,0.13847900113507378,0.09497859089139743,A2.1,2569,S6
trivial,S6-C0.25,46e7c5ef6c5eba9e8296,0.06689895470383275,0.0855614973262032,0.05491990846681922,A2.1,874,S6
blocker,S6-C0.5,c6abbd5275e055d83682,0.15034538805363673,0.11874197689345314,0.20487264673311184,A2.1,903,S6
critical,S6-C0.5,c6abbd5275e055d83682,0.13853658536585367,0.12246658042259595,0.15946097697922515,A2.1,1781,S6
major,S6-C0.5,c6abbd5275e055d83682,0.19637826961770624,0.20735075419587848,0.1865086948213262,A2.1,5233,S6
normal,S6-C0.5,c6abbd5275e055d83682,0.8134641277168686,0.8114559083118013,0.8154823118058412,A2.1,38896,S6
minor,S6-C0.5,c6abbd5275e055d83682,0.11666666666666667,0.12932259592610137,0.10626702997275204,A2.1,2569,S6
trivial,S6-C0.5,c6abbd5275e055d83682,0.06092124814264487,0.08686440677966102,0.04691075514874142,A2.1,874,S6
blocker,S6-C1,741662770930acce2132,0.1505078485687904,0.1290577988915281,0.1805094130675526,A2.1,903,S6
critical,S6-C1,741662770930acce2132,0.13563501849568435,0.12093227792436236,0.154407636159461,A2.1,1781,S6
major,S6-C1,741662770930acce2132,0.20029895366218237,0.19594224090659842,0.20485381234473532,A2.1,5233,S6
normal,S6-C1,741662770930acce2132,0.8063804251035658,0.8095669974864605,0.8032188399835458,A2.1,38896,S6
minor,S6-C1,741662770930acce2132,0.11575031004547334,0.12340237990304098,0.10899182561307902,A2.1,2569,S6
trivial,S6-C1,741662770930acce2132,0.0554675118858954,0.09020618556701031,0.04004576659038902,A2.1,874,S6
blocker,S6-C2,a9d2c70f9acba3bd4d3f,0.14432989690721648,0.13500482160077146,0.15503875968992248,A2.1,903,S6
critical,S6-C2,a9d2c70f9acba3bd4d3f,0.1265377855887522,0.11444141689373297,0.14149354295339697,A2.1,1781,S6
major,S6-C2,a9d2c70f9acba3bd4d3f,0.19840566873339238,0.18491002146277036,0.2140263711064399,A2.1,5233,S6
normal,S6-C2,a9d2c70f9acba3bd4d3f,0.8013161815190497,0.8075828393868971,0.7951460304401481,A2.1,38896,S6
minor,S6-C2,a9d2c70f9acba3bd4d3f,0.11432058584214809,0.11972731146144014,0.10938108213312572,A2.1,2569,S6
trivial,S6-C2,a9d2c70f9acba3bd4d3f,0.043697478991596636,0.08227848101265822,0.029748283752860413,A2.1,874,S6
blocker,S6-C4,7ccdc36b264a5f585553,0.14095449500554938,0.14126807563959956,0.1406423034330011,A2.1,903,S6
critical,S6-C4,7ccdc36b264a5f585553,0.12225063938618926,0.11225927665570691,0.13419427288040428,A2.1,1781,S6
major,S6-C4,7ccdc36b264a5f585553,0.1946857434849259,0.17560301121524044,0.21842155551309,A2.1,5233,S6
normal,S6-C4,7ccdc36b264a5f585553,0.7972836107720674,0.8054200115431029,0.7893099547511312,A2.1,38896,S6
minor,S6-C4,7ccdc36b264a5f585553,0.10976858488634036,0.11581676750216076,0.1043207473725185,A2.1,2569,S6
trivial,S6-C4,7ccdc36b264a5f585553,0.03962101636520241,0.08013937282229965,0.02631578947368421,A2.1,874,S6
blocker,S6-C0.25,9b12644d55a454d3d446,0.15556548949485918,0.11291369240752758,0.25,A2.1,696,S6
critical,S6-C0.25,9b12644d55a454d3d446,0.1641916503222191,0.14948979591836734,0.18210068365444376,A2.1,1609,S6
major,S6-C0.25,9b12644d55a454d3d446,0.18499304061748703,0.257939308398024,0.14420990333399092,A2.1,5069,S6
normal,S6-C0.25,9b12644d55a454d3d446,0.8279894572532562,0.8162096713164998,0.8401142412047254,A2.1,38515,S6
minor,S6-C0.25,9b12644d55a454d3d446,0.16581680830972614,0.1685867895545315,0.16313638052768487,A2.1,2691,S6
trivial,S6-C0.25,9b12644d55a454d3d446,0.13503649635036497,0.13515981735159818,0.1349134001823154,A2.1,1097,S6
blocker,S6-C0.5,99f32038b1b176a6b782,0.1436354631005448,0.10959939531368103,0.20833333333333334,A2.1,696,S6
