project,severity_raw,count,percentage,is_null_or_blank
BIRT,blocker,664,2.84880728,False
BIRT,critical,1097,4.70653853,False
BIRT,enhancement,2176,9.33585035,False
BIRT,major,2822,12.10743093,False
BIRT,minor,575,2.46696413,False
BIRT,normal,15858,68.03672559,False
BIRT,trivial,116,0.4976832,False
BIRT,,0,0.0,True
MYLYN,blocker,135,0.9647681,False
MYLYN,critical,220,1.57221468,False
MYLYN,enhancement,4320,30.87257915,False
MYLYN,major,792,5.65997284,False
MYLYN,minor,1171,8.36846995,False
MYLYN,normal,6755,48.27413707,False
MYLYN,trivial,600,4.28785821,False
MYLYN,,0,0.0,True
CDT,blocker,294,1.31420142,False
CDT,critical,531,2.37360869,False
CDT,enhancement,2666,11.91721425,False
CDT,major,1898,8.48419829,False
CDT,minor,958,4.2823298,False
CDT,normal,15811,70.67632202,False
CDT,trivial,213,0.95212552,False
CDT,,0,0.0,True
EQUINOX,blocker,268,1.84078577,False
EQUINOX,critical,465,3.19390068,False
EQUINOX,enhancement,1436,9.86331479,False
EQUINOX,major,1078,7.40435469,False
EQUINOX,minor,381,2.61693798,False
EQUINOX,normal,10818,74.30455388,False
EQUINOX,trivial,113,0.77615221,False
EQUINOX,,0,0.0,True
JDT,blocker,496,0.7839914,False
JDT,critical,1415,2.23658837,False
JDT,enhancement,10190,16.10659754,False
JDT,major,4317,6.82357032,False
JDT,minor,3278,5.18129801,False
JDT,normal,42538,67.23674644,False
JDT,trivial,1032,1.63120792,False
JDT,,0,0.0,True
PDE,blocker,210,1.19054368,False
PDE,critical,450,2.55116503,False
PDE,enhancement,2046,11.59929701,False
PDE,major,1407,7.97664267,False
PDE,minor,544,3.08407506,False
PDE,normal,12746,72.26033222,False
PDE,trivial,236,1.33794433,False
PDE,,0,0.0,True
PAPYRUS,blocker,129,0.97336452,False
PAPYRUS,critical,370,2.79182072,False
PAPYRUS,enhancement,2343,17.67901607,False
PAPYRUS,major,1145,8.63955331,False
PAPYRUS,minor,376,2.83709349,False
PAPYRUS,normal,8770,66.17369652,False
PAPYRUS,trivial,120,0.90545537,False
PAPYRUS,,0,0.0,True
PLATFORM,blocker,1717,1.40167842,False
PLATFORM,critical,4088,3.33725183,False
PLATFORM,enhancement,15693,12.81103056,False
PLATFORM,major,10958,8.94559822,False
PLATFORM,minor,4575,3.73481583,False
PLATFORM,normal,83557,68.21202325,False
PLATFORM,trivial,1908,1.55760188,False
PLATFORM,,0,0.0,True
TPTP,blocker,626,5.9173835,False
TPTP,critical,1096,10.36014746,False
TPTP,enhancement,1121,10.59646469,False
TPTP,major,1920,18.14916344,False
TPTP,minor,201,1.89999055,False
TPTP,normal,5589,52.83108044,False
TPTP,trivial,26,0.24576992,False
TPTP,,0,0.0,True
