task,class,precision,recall,f1,support
S6,blocker,0.18579990779160904,0.3252623083131558,0.23650234741784038,1239
S6,critical,0.1556987788331072,0.2609437180216032,0.1950286806883365,1759
S6,major,0.2292604501607717,0.16171467452937174,0.18965287937225694,4409
S6,normal,0.8658678986647713,0.8332926173840817,0.8492680011951,40934
S6,minor,0.1346153846153846,0.13088057901085645,0.1327217125382263,1658
S6,trivial,0.11026352288488211,0.23520710059171598,0.1501416430594901,676
S3,HIGH,0.3764294248165216,0.5955177534764412,0.461281045751634,7407
S3,MEDIUM,0.8805211409089525,0.706649728831778,0.7840618011791014,40934
S3,LOW,0.14395676383884703,0.37660668380462725,0.20829383886255926,2334
S2,HIGH_IMPACT,0.3759469696969697,0.5895774267584717,0.4591284234873574,7407
S2,LOWER_IMPACT,0.9221690263447605,0.8324627900526949,0.8750227750312777,43268
