class,experiment_id,f1,precision,recall,support,task
blocker,ad35f5b677a78621a276,0.1696927374301676,0.12391636919938807,0.2691029900332226,903,S6
critical,ad35f5b677a78621a276,0.15650504080652905,0.13668763102725368,0.18304323413812465,1781,S6
major,ad35f5b677a78621a276,0.20270270270270271,0.22646850672328378,0.18345117523409135,5233,S6
normal,ad35f5b677a78621a276,0.8190791160334308,0.8167757439410983,0.8213955162484574,38896,S6
minor,ad35f5b677a78621a276,0.1276502732240437,0.14556331006979062,0.11366290385363954,2569,S6
trivial,ad35f5b677a78621a276,0.09276177090653549,0.12021857923497267,0.07551487414187644,874,S6
blocker,f551b1e9a6adde7a71f7,0.16065292096219932,0.11458333333333333,0.2686781609195402,696,S6
critical,f551b1e9a6adde7a71f7,0.16675779114270092,0.1488530990727184,0.18955873213175886,1609,S6
major,f551b1e9a6adde7a71f7,0.1969790003684146,0.2608978529603123,0.1582166107713553,5069,S6
normal,f551b1e9a6adde7a71f7,0.8262260402961588,0.8209735715567404,0.831546150850318,38515,S6
minor,f551b1e9a6adde7a71f7,0.17129204190406175,0.16945454545454544,0.1731698253437384,2691,S6
trivial,f551b1e9a6adde7a71f7,0.14968999114260406,0.14556416881998277,0.15405651777575205,1097,S6
blocker,bacec63ab17112284989,0.16044260027662519,0.11335504885993486,0.2744479495268139,634,S6
critical,bacec63ab17112284989,0.21516900247320692,0.17159763313609466,0.2883977900552486,1810,S6
major,bacec63ab17112284989,0.20476080425236884,0.24645340751043116,0.17513342557817752,5059,S6
normal,bacec63ab17112284989,0.8096833373215283,0.8304608671938914,0.7899201079062046,38552,S6
minor,bacec63ab17112284989,0.17098357880480786,0.1561051004636785,0.18899700598802396,2672,S6
trivial,bacec63ab17112284989,0.19618528610354224,0.16062465142219742,0.25196850393700787,1143,S6
HIGH,dfe39fad6c7d150013e9,0.41087237402497967,0.3307395993836672,0.5422508525956802,7917,S3
MEDIUM,dfe39fad6c7d150013e9,0.7672167368639095,0.8287538411050449,0.7141865487453722,38896,S3
LOW,dfe39fad6c7d150013e9,0.21416666666666667,0.2052169284003194,0.2239326169038629,3443,S3
HIGH,a3772d1e600c1f888761,0.41481643118215045,0.346992789997262,0.5155953349606727,7374,S3
MEDIUM,a3772d1e600c1f888761,0.7711587359244461,0.8347397392856063,0.71657795664027,38515,S3
LOW,a3772d1e600c1f888761,0.2776071995764955,0.23174827647162807,0.34609292502639916,3788,S3
HIGH,ba2d939b7b07cc3cecb7,0.43290432006385315,0.34593000079725744,0.578302012528322,7503,S3
MEDIUM,ba2d939b7b07cc3cecb7,0.7389014076263498,0.84756629741524,0.6549335961817805,38552,S3
LOW,ba2d939b7b07cc3cecb7,0.29334038054968287,0.2209101764627836,0.436435124508519,3815,S3
HIGH_IMPACT,d4a6c145812399a9333b,0.4161027070063694,0.34329583709664174,0.5281040798282177,7917,S2
LOWER_IMPACT,d4a6c145812399a9333b,0.85408376442499,0.9018830264989364,0.8110961524835258,42339,S2
HIGH_IMPACT,1da8751596b71134bd39,0.4110503597122302,0.35706429357064295,0.4842690534309737,7374,S2
LOWER_IMPACT,1da8751596b71134bd39,0.8751753497847009,0.9041486036898881,0.8480013237831833,42303,S2
HIGH_IMPACT,314e0fa878b8ba3edc17,0.4329662375264981,0.3536915019428958,0.5580434492869519,7503,S2
LOWER_IMPACT,314e0fa878b8ba3edc17,0.8635928307566014,0.9128102650399663,0.8194113342931999,42367,S2
