additional_chunks_vs_b1,five_chunks,four_chunks,maximum_chunks,mean_chunks,median_chunks,one_chunk,over_five_chunks,project,three_chunks,total_chunks,total_records,two_chunks
,209,260,,1.8769003253475303,,14148,1175,BIRT,311,31729,16905,802
,200,289,,1.7486678507992894,,12486,650,CDT,479,27566,15764,1660
,170,224,,1.9235092398552105,,7975,516,EQUINOX,454,20193,10498,1159
,796,1006,,2.0098916627414036,,32668,2753,JDT,1451,85340,42460,3786
,162,204,,1.9023003360041355,,6265,537,MYLYN,183,14720,7738,387
,78,70,,1.711961503208066,,7696,454,PAPYRUS,76,14942,8728,354
,201,266,,1.763668430335097,,9987,650,PDE,371,22000,12474,999
,1555,2005,,2.0856604480232206,,66932,4989,PLATFORM,2880,178203,85442,7081
,93,128,,1.683320116309807,,6266,283,TPTP,187,12736,7566,609
199854,3464,4452,479,1.962803805853306,1,164423,12007,ALL,6392,407429,207575,16837
