class,f1,fold,precision,recall,support,task
blocker,0.1612141652613828,1,0.11590688651794374,0.2646733111849391,903,S6
critical,0.15111537538978173,1,0.13190954773869346,0.17686692869174622,1781,S6
major,0.19906819144430327,1,0.22322488720019,0.17962927575004778,5233,S6
minor,0.12415888864771,1,0.14033366045142295,0.11132736473335929,2569,S6
normal,0.8175188105082047,1,0.8165751808341456,0.8184646236116825,38896,S6
trivial,0.08996539792387544,1,0.1138353765323993,0.07437070938215103,874,S6
blocker,0.15613067458633856,2,0.11077664057796509,0.26436781609195403,696,S6
critical,0.16071428571428573,2,0.1423095352180163,0.18458669981354878,1609,S6
major,0.1918855592551486,2,0.25592105263157894,0.15348194910238705,5069,S6
minor,0.17078981125160345,2,0.16847433116413593,0.1731698253437384,2691,S6
normal,0.8245376285799099,2,0.8197659498023918,0.829365182396469,38515,S6
trivial,0.14463176574977818,2,0.14088159031979255,0.14858705560619873,1097,S6
blocker,0.15434380776340112,3,0.10915032679738562,0.2634069400630915,634,S6
critical,0.21409382103740443,3,0.17101353582040277,0.2861878453038674,1810,S6
major,0.20187304890738814,3,0.24317548746518106,0.17256374777624037,5059,S6
minor,0.16740088105726872,3,0.15294117647058825,0.18488023952095808,2672,S6
normal,0.8092934233611568,3,0.8298985933922146,0.7896866569827765,38552,S6
trivial,0.19932203389830508,3,0.1627006087437742,0.2572178477690289,1143,S6
HIGH,0.4091752724503879,1,0.32826817348808796,0.5430087154225085,7917,S3
LOW,0.21799781181619257,1,0.20599638149392607,0.23148417078129538,3443,S3
MEDIUM,0.7644866804272238,1,0.8288426301402781,0.7094045660222131,38896,S3
HIGH,0.4071424670998744,2,0.34079897614041504,0.5055600759425006,7374,S3
LOW,0.2773691042838598,2,0.23497067448680353,0.3384371700105597,3788,S3
MEDIUM,0.7719264036101787,2,0.8326122228231476,0.7194859145787356,38515,S3
HIGH,0.4290858171634327,3,0.3433922996878252,0.5717712914834067,7503,S3
LOW,0.28875323714391415,3,0.22309561240531656,0.4091743119266055,3815,S3
MEDIUM,0.7445888701909128,3,0.8447333772218565,0.665672338659473,38552,S3
HIGH_IMPACT,0.41383734701934466,1,0.3395966631570422,0.5296198054818745,7917,S2
LOWER_IMPACT,0.8519838500647992,1,0.9017647524334591,0.8074116063204138,42339,S2
HIGH_IMPACT,0.4082660713263495,2,0.35324418028727095,0.4835909953892053,7374,S2
LOWER_IMPACT,0.8737619832692191,2,0.9037946541357182,0.8456610642271234,42303,S2
HIGH_IMPACT,0.4309085296841239,3,0.35090071219103475,0.5581767293082767,7503,S2
LOWER_IMPACT,0.8622450250305098,3,0.9126136812969553,0.817145419784266,42367,S2
