fold,project,max_training_creation_time,min_validation_creation_time,chronology_valid
1,BIRT,2006-04-12T16:10:08+00:00,2006-04-12T16:12:42+00:00,True
2,BIRT,2007-03-01T07:59:27+00:00,2007-03-01T14:32:45+00:00,True
3,BIRT,2008-02-03T08:19:56+00:00,2008-02-03T08:39:29+00:00,True
1,MYLYN,2007-03-21T18:31:35+00:00,2007-03-21T19:18:17+00:00,True
2,MYLYN,2008-06-10T09:15:05+00:00,2008-06-10T09:23:38+00:00,True
3,MYLYN,2010-05-10T07:01:48+00:00,2010-05-10T23:45:26+00:00,True
1,CDT,2005-05-11T19:41:40+00:00,2005-05-11T20:20:14+00:00,True
2,CDT,2008-02-08T21:05:52+00:00,2008-02-08T22:10:56+00:00,True
3,CDT,2010-07-08T11:33:31+00:00,2010-07-08T11:54:43+00:00,True
1,EQUINOX,2007-10-31T14:57:30+00:00,2007-10-31T15:06:46+00:00,True
2,EQUINOX,2008-10-28T14:32:00+00:00,2008-10-28T14:32:00+00:00,True
3,EQUINOX,2010-02-03T18:28:23+00:00,2010-02-03T22:16:45+00:00,True
1,JDT,2003-03-14T16:40:28+00:00,2003-03-14T17:16:27+00:00,True
2,JDT,2005-03-24T21:01:43+00:00,2005-03-24T21:47:02+00:00,True
3,JDT,2007-08-30T08:46:46+00:00,2007-08-30T10:32:10+00:00,True
1,PDE,2004-07-12T12:02:29+00:00,2004-07-12T15:01:30+00:00,True
2,PDE,2007-02-05T19:20:08+00:00,2007-02-05T21:41:43+00:00,True
3,PDE,2009-02-06T16:51:38+00:00,2009-02-07T04:34:39+00:00,True
1,PAPYRUS,2012-01-23T16:47:34+00:00,2012-01-24T09:51:23+00:00,True
2,PAPYRUS,2014-10-20T08:26:47+00:00,2014-10-20T08:51:12+00:00,True
3,PAPYRUS,2016-02-23T16:12:53+00:00,2016-02-23T16:35:28+00:00,True
1,PLATFORM,2003-12-23T17:38:59+00:00,2003-12-23T18:16:43+00:00,True
2,PLATFORM,2005-09-15T09:10:22+00:00,2005-09-15T09:33:52+00:00,True
3,PLATFORM,2008-04-21T12:49:24+00:00,2008-04-21T13:00:12+00:00,True
1,TPTP,2005-10-26T15:06:21+00:00,2005-10-26T15:41:38+00:00,True
2,TPTP,2006-05-24T21:25:35+00:00,2006-05-24T21:35:13+00:00,True
3,TPTP,2007-02-20T20:57:23+00:00,2007-02-20T22:42:05+00:00,True
