partition,task,class,count
DEVELOPMENT,S6,blocker,3281
DEVELOPMENT,S6,critical,7907
DEVELOPMENT,S6,major,21785
DEVELOPMENT,S6,normal,160576
DEVELOPMENT,S6,minor,10345
DEVELOPMENT,S6,trivial,3681
DEVELOPMENT,S3,HIGH,32973
DEVELOPMENT,S3,MEDIUM,160576
DEVELOPMENT,S3,LOW,14026
DEVELOPMENT,S2,HIGH_IMPACT,32973
DEVELOPMENT,S2,LOWER_IMPACT,174602
LOCKED_TEST,S6,blocker,1239
LOCKED_TEST,S6,critical,1759
LOCKED_TEST,S6,major,4409
LOCKED_TEST,S6,normal,40934
LOCKED_TEST,S6,minor,1658
LOCKED_TEST,S6,trivial,676
LOCKED_TEST,S3,HIGH,7407
LOCKED_TEST,S3,MEDIUM,40934
LOCKED_TEST,S3,LOW,2334
LOCKED_TEST,S2,HIGH_IMPACT,7407
LOCKED_TEST,S2,LOWER_IMPACT,43268
