family,fold,project,partition,task,class,count
within_project,1,BIRT,TRAINING,S6,blocker,164
within_project,1,BIRT,TRAINING,S6,critical,248
within_project,1,BIRT,TRAINING,S6,major,726
within_project,1,BIRT,TRAINING,S6,normal,2832
within_project,1,BIRT,TRAINING,S6,minor,202
within_project,1,BIRT,TRAINING,S6,trivial,54
within_project,1,BIRT,TRAINING,S3,HIGH,1138
within_project,1,BIRT,TRAINING,S3,MEDIUM,2832
within_project,1,BIRT,TRAINING,S3,LOW,256
within_project,1,BIRT,TRAINING,S2,HIGH_IMPACT,1138
within_project,1,BIRT,TRAINING,S2,LOWER_IMPACT,3088
within_project,1,BIRT,VALIDATION,S6,blocker,161
within_project,1,BIRT,VALIDATION,S6,critical,209
within_project,1,BIRT,VALIDATION,S6,major,631
within_project,1,BIRT,VALIDATION,S6,normal,3096
within_project,1,BIRT,VALIDATION,S6,minor,88
within_project,1,BIRT,VALIDATION,S6,trivial,8
within_project,1,BIRT,VALIDATION,S3,HIGH,1001
within_project,1,BIRT,VALIDATION,S3,MEDIUM,3096
within_project,1,BIRT,VALIDATION,S3,LOW,96
within_project,1,BIRT,VALIDATION,S2,HIGH_IMPACT,1001
within_project,1,BIRT,VALIDATION,S2,LOWER_IMPACT,3192
within_project,1,MYLYN,TRAINING,S6,blocker,41
within_project,1,MYLYN,TRAINING,S6,critical,56
within_project,1,MYLYN,TRAINING,S6,major,147
within_project,1,MYLYN,TRAINING,S6,normal,1461
within_project,1,MYLYN,TRAINING,S6,minor,198
within_project,1,MYLYN,TRAINING,S6,trivial,31
within_project,1,MYLYN,TRAINING,S3,HIGH,244
within_project,1,MYLYN,TRAINING,S3,MEDIUM,1461
within_project,1,MYLYN,TRAINING,S3,LOW,229
within_project,1,MYLYN,TRAINING,S2,HIGH_IMPACT,244
within_project,1,MYLYN,TRAINING,S2,LOWER_IMPACT,1690
within_project,1,MYLYN,VALIDATION,S6,blocker,34
within_project,1,MYLYN,VALIDATION,S6,critical,36
within_project,1,MYLYN,VALIDATION,S6,major,122
within_project,1,MYLYN,VALIDATION,S6,normal,1297
within_project,1,MYLYN,VALIDATION,S6,minor,324
within_project,1,MYLYN,VALIDATION,S6,trivial,85
within_project,1,MYLYN,VALIDATION,S3,HIGH,192
within_project,1,MYLYN,VALIDATION,S3,MEDIUM,1297
within_project,1,MYLYN,VALIDATION,S3,LOW,409
within_project,1,MYLYN,VALIDATION,S2,HIGH_IMPACT,192
within_project,1,MYLYN,VALIDATION,S2,LOWER_IMPACT,1706
within_project,1,CDT,TRAINING,S6,blocker,63
within_project,1,CDT,TRAINING,S6,critical,118
within_project,1,CDT,TRAINING,S6,major,553
within_project,1,CDT,TRAINING,S6,normal,3019
within_project,1,CDT,TRAINING,S6,minor,158
within_project,1,CDT,TRAINING,S6,trivial,30
within_project,1,CDT,TRAINING,S3,HIGH,734
within_project,1,CDT,TRAINING,S3,MEDIUM,3019
within_project,1,CDT,TRAINING,S3,LOW,188
within_project,1,CDT,TRAINING,S2,HIGH_IMPACT,734
within_project,1,CDT,TRAINING,S2,LOWER_IMPACT,3207
within_project,1,CDT,VALIDATION,S6,blocker,76
within_project,1,CDT,VALIDATION,S6,critical,127
