family,fold,project,training_rows,validation_candidate_rows,validation_removed_exact_text,validation_removed_explicit_dupe_link,validation_final_rows,validation_component_overlap_after_purge
within_project,1,BIRT,4226,4226,0,33,4193,0
within_project,1,MYLYN,1934,1935,0,37,1898,0
within_project,1,CDT,3941,3941,0,35,3906,0
within_project,1,EQUINOX,2624,2625,0,36,2589,0
within_project,1,JDT,10615,10615,1,222,10392,0
within_project,1,PDE,3118,3119,0,105,3014,0
within_project,1,PAPYRUS,2182,2182,0,22,2160,0
within_project,1,PLATFORM,21360,21361,3,738,20620,0
within_project,1,TPTP,1891,1892,0,13,1879,0
within_project,2,BIRT,8452,4226,0,19,4207,0
within_project,2,MYLYN,3869,1934,1,55,1878,0
within_project,2,CDT,7882,3941,0,104,3837,0
within_project,2,EQUINOX,5249,2624,0,124,2500,0
within_project,2,JDT,21230,10615,0,418,10197,0
within_project,2,PDE,6237,3118,0,79,3039,0
within_project,2,PAPYRUS,4364,2182,0,17,2165,0
within_project,2,PLATFORM,42721,21360,1,902,20457,0
within_project,2,TPTP,3783,1891,0,57,1834,0
within_project,3,BIRT,12678,4227,0,57,4170,0
within_project,3,MYLYN,5803,1935,5,21,1909,0
within_project,3,CDT,11823,3941,0,125,3816,0
within_project,3,EQUINOX,7873,2625,0,78,2547,0
within_project,3,JDT,31845,10615,0,499,10116,0
within_project,3,PDE,9355,3119,0,74,3045,0
within_project,3,PAPYRUS,6546,2182,0,16,2166,0
within_project,3,PLATFORM,64081,21361,1,686,20674,0
within_project,3,TPTP,5674,1892,0,67,1825,0
pooled,1,BIRT,4226,4226,0,33,4193,0
pooled,1,MYLYN,1934,1935,6,38,1891,0
pooled,1,CDT,3941,3941,0,37,3904,0
pooled,1,EQUINOX,2624,2625,0,37,2588,0
pooled,1,JDT,10615,10615,3,423,10189,0
pooled,1,PDE,3118,3119,2,114,3003,0
pooled,1,PAPYRUS,2182,2182,0,22,2160,0
pooled,1,PLATFORM,21360,21361,8,904,20449,0
pooled,1,TPTP,1891,1892,0,13,1879,0
pooled,2,BIRT,8452,4226,0,19,4207,0
pooled,2,MYLYN,3869,1934,1,56,1877,0
pooled,2,CDT,7882,3941,0,109,3832,0
pooled,2,EQUINOX,5249,2624,1,126,2497,0
pooled,2,JDT,21230,10615,16,572,10027,0
pooled,2,PDE,6237,3118,0,93,3025,0
pooled,2,PAPYRUS,4364,2182,0,17,2165,0
pooled,2,PLATFORM,42721,21360,23,1122,20215,0
pooled,2,TPTP,3783,1891,1,58,1832,0
pooled,3,BIRT,12678,4227,27,63,4137,0
pooled,3,MYLYN,5803,1935,5,25,1905,0
pooled,3,CDT,11823,3941,1,130,3810,0
pooled,3,EQUINOX,7873,2625,0,82,2543,0
pooled,3,JDT,31845,10615,5,601,10009,0
pooled,3,PDE,9355,3119,0,86,3033,0
pooled,3,PAPYRUS,6546,2182,0,16,2166,0
pooled,3,PLATFORM,64081,21361,30,886,20445,0
pooled,3,TPTP,5674,1892,0,70,1822,0
