project,partition,row_count,earliest_creation_time,latest_creation_time
BIRT,DEVELOPMENT,16905,2005-01-07T20:28:58+00:00,2009-06-02T05:47:07+00:00
BIRT,LOCKED_TEST,4173,2009-06-02T05:51:24+00:00,2021-12-06T16:38:05+00:00
MYLYN,DEVELOPMENT,7738,2005-06-10T17:41:17+00:00,2012-08-03T06:22:44+00:00
MYLYN,LOCKED_TEST,1889,2012-08-03T06:28:17+00:00,2022-11-10T13:33:58+00:00
CDT,DEVELOPMENT,15764,2002-01-14T05:08:01+00:00,2014-06-29T13:45:27+00:00
CDT,LOCKED_TEST,3834,2014-06-29T14:05:56+00:00,2022-11-24T19:10:08+00:00
EQUINOX,DEVELOPMENT,10498,2001-10-11T02:35:18+00:00,2013-03-15T08:49:49+00:00
EQUINOX,LOCKED_TEST,2582,2013-03-15T15:01:40+00:00,2022-05-20T08:05:08+00:00
JDT,DEVELOPMENT,42460,2001-10-11T02:14:42+00:00,2014-04-30T17:19:47+00:00
JDT,LOCKED_TEST,10341,2014-04-30T20:36:24+00:00,2022-04-12T11:36:23+00:00
PDE,DEVELOPMENT,12474,2001-10-11T01:39:24+00:00,2012-10-23T20:43:44+00:00
PDE,LOCKED_TEST,3079,2012-10-24T21:48:06+00:00,2022-11-07T11:57:16+00:00
PAPYRUS,DEVELOPMENT,8728,2008-10-06T12:39:04+00:00,2017-08-31T10:13:11+00:00
PAPYRUS,LOCKED_TEST,2172,2017-08-31T11:32:12+00:00,2024-06-10T07:30:28+00:00
PLATFORM,DEVELOPMENT,85442,2001-10-11T01:34:46+00:00,2013-05-24T11:08:19+00:00
PLATFORM,LOCKED_TEST,20789,2013-05-24T11:20:48+00:00,2022-04-12T18:09:31+00:00
TPTP,DEVELOPMENT,7566,2003-11-05T14:18:46+00:00,2008-03-14T10:35:38+00:00
TPTP,LOCKED_TEST,1816,2008-03-14T15:17:05+00:00,2016-03-28T15:31:42+00:00
