class,f1,fold,precision,recall,support,task
blocker,0.1586754053121766,1,0.11523046092184369,0.2547065337763012,903,S6
critical,0.1477162293488824,1,0.13019271948608138,0.17069062324536777,1781,S6
major,0.19540355081145844,1,0.22720364741641338,0.1714121918593541,5233,S6
minor,0.11643835616438356,1,0.14080618442849255,0.09926041261191125,2569,S6
normal,0.8214631412705691,1,0.8139575971731449,0.8291083916083916,38896,S6
trivial,0.07746478873239436,1,0.10073260073260074,0.06292906178489703,874,S6
blocker,0.15513442044953724,2,0.11188811188811189,0.25287356321839083,696,S6
critical,0.1712538226299694,2,0.15492957746478872,0.19142324425108764,1609,S6
major,0.19465025744066305,2,0.2677954388389772,0.15289011639376604,5069,S6
minor,0.17334331710969675,2,0.17465107506601282,0.17205499814195466,2691,S6
normal,0.8287472752917041,2,0.8186700443318556,0.8390756847981305,38515,S6
trivial,0.1377108983128135,2,0.13777372262773724,0.13764813126709208,1097,S6
blocker,0.15050651230101303,3,0.10840861709520501,0.24605678233438485,634,S6
critical,0.2171331636980492,3,0.17618719889883,0.2828729281767956,1810,S6
major,0.2007694998251137,3,0.24474133030130757,0.17019173749752917,5059,S6
minor,0.17377785455173606,3,0.16137311517484762,0.18824850299401197,2672,S6
normal,0.8149526788896369,3,0.8296825866100465,0.8007366673583731,38552,S6
trivial,0.20311394196744514,3,0.17052881758764113,0.2510936132983377,1143,S6
HIGH,0.40445108145864445,1,0.3268961220993615,0.5302513578375647,7917,S3
LOW,0.1955714073413583,1,0.20024345709068778,0.19111240197502177,3443,S3
MEDIUM,0.771225898334794,1,0.8250996249413971,0.7239561908679556,38896,S3
HIGH,0.4076837416481069,2,0.3458341205365577,0.49647409818280447,7374,S3
LOW,0.2753187519436094,2,0.22665983956306537,0.3505807814149947,3788,S3
MEDIUM,0.7715444548204106,2,0.8328719306692345,0.7186291055432948,38515,S3
HIGH,0.4282400403429148,3,0.34444714853573455,0.5659069705451153,7503,S3
LOW,0.2898763169949611,3,0.2228169014084507,0.41467889908256883,3815,S3
MEDIUM,0.7468367272990797,3,0.8463029267811977,0.6682921768001661,38552,S3
HIGH_IMPACT,0.41017440407775724,1,0.3393418223912684,0.5183781735505874,7917,S2
LOWER_IMPACT,0.8533807033453,1,0.9000838530475342,0.8112851035688137,42339,S2
HIGH_IMPACT,0.40825341470502763,2,0.3572373105482657,0.4762679685381069,7374,S2
LOWER_IMPACT,0.876066659362865,2,0.9030768458565477,0.85062525116422,42303,S2
HIGH_IMPACT,0.43027805310657835,3,0.3535059146236928,0.5496468079434893,7503,S2
LOWER_IMPACT,0.8644549527745715,3,0.9115537640037692,0.8219840913918852,42367,S2
