development_records,fits_without_truncation,fits_without_truncation_percentage,maximum_tokens,mean_tokens,median_tokens,native_max_sequence_length,p90_tokens,p95_tokens,p99_tokens,project,requires_truncation,requires_truncation_percentage,total_records,truncation_percentage
16905,14702,,32225,418.37166518781424,146,,,,,BIRT,2203,,,13.031647441585331
15764,13748,,27950,376.7205024105557,162.0,,,,,CDT,2016,,,12.788632326820604
10498,8757,,25308,436.4300819203658,162.0,,,,,EQUINOX,1741,,,16.584111259287486
42460,35327,,139824,461.07774375883184,161.0,,,,,JDT,7133,,,16.799340555817242
7738,6529,,20835,386.4917291289739,88.0,,,,,MYLYN,1209,,,15.624192297751357
8728,7942,,22510,333.394477543538,91.0,,,,,PAPYRUS,786,,,9.005499541704857
12474,10658,,39434,377.6564854898188,146.0,,,,,PDE,1816,,,14.558281224947892
85442,71660,,54237,477.53454975304885,144.0,,,,,PLATFORM,13782,,,16.130240396994452
7566,6699,,30528,344.7552207242929,127.0,,,,,TPTP,867,,,11.459159397303727
,176022,84.79922919426713,139824,439.31856437432253,145,512,920.0,1751.0,4892.520000000019,ALL,31553,15.20077080573287,207575,
