class_weight,classifier,configuration_id,encoder_id,fold_macro_f1,high_impact_f1,high_impact_precision,high_impact_recall,legacy_reproduction_guard,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,min_fold_macro_f1,rank_within_task,std_macro_f1,task
BALANCED,LINEARSVC,S2-E2-LINEARSVC-BALANCED,E2,0.5737429738|0.5770573773|0.5753976524,0.3861414046963603,0.26615271904364696,0.7035853050215858,FAIL,0.6598523117526022,0.6777846164114075,0.5753993345323325,0.7070976516483475,0.573742973808584,1,0.0013531001011969975,S2
BALANCED,LOGREG,S2-E2-LOGREG-BALANCED,E2,0.5752808362|0.5751987190|0.5734916668,0.38567952937794653,0.2655833287918317,0.7046373619207184,FAIL,0.6587001346110101,0.6775468601135257,0.5746570740147857,0.7061567740802545,0.5734916667994735,2,0.0008247489681290245,S2
BALANCED,LOGREG,S2-E1-LOGREG-BALANCED,E1,0.5619737127|0.5709791614|0.5689520979,0.37601961328278444,0.2585345796510146,0.68941833659055,FAIL,0.6519716409566548,0.6673111686844254,0.5673016573243395,0.7004134836214595,0.5619737127063229,3,0.0038572435788699374,S2
BALANCED,LINEARSVC,S2-E1-LINEARSVC-BALANCED,E1,0.5604990455|0.5719433915|0.5689013772,0.37578194708115653,0.2583755071954187,0.689002700038324,FAIL,0.6518104912036636,0.6670446577916426,0.5671146047205812,0.700261304903251,0.560499045510865,4,0.004839950443804328,S2
NONE,LOGREG,S2-E2-LOGREG-NONE,E2,0.5376663043|0.5413260370|0.5547024481,0.17037905714606075,0.5784319063293079,0.09999292458047122,PASS,0.8520041525555196,0.5434774379591926,0.5445649298020921,0.8048826687363163,0.5376663043177213,5,0.0073223570027449985,S2
NONE,LINEARSVC,S2-E2-LINEARSVC-NONE,E2,0.5247252364|0.5178953869|0.5308680818,0.13010644700230803,0.6013421573974299,0.07299317998973492,PASS,0.8516226915611894,0.5321584592443367,0.524496235036292,0.7989079740961408,0.5178953869131314,6,0.005298555438349214,S2
NONE,LOGREG,S2-E1-LOGREG-NONE,E1,0.5135150012|0.5118010715|0.5275940389,0.11763262536918499,0.5383745101778373,0.06608226512350383,PASS,0.8493530053650774,0.5279943634685983,0.5176367038726618,0.7959325407546777,0.5118010714929561,7,0.007075581441589367,S2
NONE,LINEARSVC,S2-E1-LINEARSVC-NONE,E1,0.4835561216|0.4850880164|0.4907492603,0.054778997105279746,0.6029428629104322,0.02870013542181363,PASS,0.8493547640202442,0.5126573300890455,0.48646446612174254,0.786802530625274,0.48355612162334355,8,0.0030936786659488237,S2
BALANCED,LINEARSVC,S3-E2-LINEARSVC-BALANCED,E2,0.4535552125|0.4589365710|0.4685454488,,,,,0.7352049859615901,0.44962129580352556,0.4603457441169545,0.718652514485762,0.4535552125465641,1,0.006200329163646011,S3
BALANCED,LINEARSVC,S3-E1-LINEARSVC-BALANCED,E1,0.4303391653|0.4284988725|0.4388013723,,,,,0.741108346291078,0.4229789397492743,0.43254647002204055,0.7137742579770867,0.428498872460366,2,0.004486239819945258,S3
