class,experiment_id,f1,precision,recall,support,task
blocker,4c76d16f7df7f51dd3f3,0.03862660944206009,0.6206896551724138,0.019933554817275746,903,S6
critical,4c76d16f7df7f51dd3f3,0.004419889502762431,0.13793103448275862,0.0022459292532285235,1781,S6
major,4c76d16f7df7f51dd3f3,0.0049130763416477706,0.22033898305084745,0.0024842346646283204,5233,S6
minor,4c76d16f7df7f51dd3f3,0.0,0.0,0.0,2569,S6
normal,4c76d16f7df7f51dd3f3,0.8724434211265233,0.7746265382237381,0.9985345536816125,38896,S6
trivial,4c76d16f7df7f51dd3f3,0.0,0.0,0.0,874,S6
blocker,4d26078ebd32a571071a,0.1191904047976012,0.06717363751584284,0.5282392026578073,903,S6
critical,4d26078ebd32a571071a,0.11186258722490607,0.06915317228563844,0.29253228523301517,1781,S6
major,4d26078ebd32a571071a,0.16856075051483488,0.14026402640264027,0.21115994649340722,5233,S6
minor,4d26078ebd32a571071a,0.15114795918367346,0.0950375939849624,0.3690151810042818,2569,S6
normal,4d26078ebd32a571071a,0.36100335127449984,0.8595608859657607,0.22848107774578363,38896,S6
trivial,4d26078ebd32a571071a,0.09081055040346862,0.05074707228429129,0.43135011441647597,874,S6
blocker,33444283dca15f438bdf,0.0,0.0,0.0,903,S6
critical,33444283dca15f438bdf,0.0,0.0,0.0,1781,S6
major,33444283dca15f438bdf,0.0,0.0,0.0,5233,S6
minor,33444283dca15f438bdf,0.0,0.0,0.0,2569,S6
normal,33444283dca15f438bdf,0.872586959204047,0.7739727390309422,1.0,38896,S6
trivial,33444283dca15f438bdf,0.0,0.0,0.0,874,S6
blocker,684b812678c94b7001dc,0.15642676028866784,0.09493371212121213,0.4440753045404208,903,S6
critical,684b812678c94b7001dc,0.13523994183228308,0.11897654584221748,0.1566535654126895,1781,S6
major,684b812678c94b7001dc,0.09576537483166243,0.2206896551724138,0.061150391744697115,5233,S6
minor,684b812678c94b7001dc,0.06461444681499542,0.14887640449438203,0.041261191124951344,2569,S6
normal,684b812678c94b7001dc,0.8148790029691741,0.8078682062814261,0.8220125462772522,38896,S6
trivial,684b812678c94b7001dc,0.1041814316087881,0.07546201232032854,0.16819221967963388,874,S6
HIGH,103dc89150ac9407590d,0.13633355393778954,0.5378590078328982,0.07805987116331944,7917,S3
LOW,103dc89150ac9407590d,0.0005805515239477503,0.5,0.0002904443799012489,3443,S3
MEDIUM,103dc89150ac9407590d,0.8720809990795559,0.7814275532023216,0.9865281777046483,38896,S3
HIGH,b8d57d6dba4edf9f77e4,0.3796144074129428,0.2695389186607948,0.6416571933813313,7917,S3
LOW,b8d57d6dba4edf9f77e4,0.22298751614291865,0.1368469717984281,0.6018007551553878,3443,S3
MEDIUM,b8d57d6dba4edf9f77e4,0.5014864766876949,0.8502581755593803,0.35561497326203206,38896,S3
HIGH,cc25b21e95cc622ad856,0.05513422414830865,0.5871794871794872,0.02892509789061513,7917,S3
LOW,cc25b21e95cc622ad856,0.0,0.0,0.0,3443,S3
MEDIUM,cc25b21e95cc622ad856,0.8728059304657398,0.7768018289014559,0.9958864664747018,38896,S3
HIGH,62d1439dc247f6f3f994,0.3403496743229345,0.3722255548890222,0.31350258936465836,7917,S3
LOW,62d1439dc247f6f3f994,0.1149862608328049,0.2111801242236025,0.07900087133313971,3443,S3
MEDIUM,62d1439dc247f6f3f994,0.8356815606680132,0.8020567375886525,0.8722490744549568,38896,S3
HIGH_IMPACT,db18892ab9a684162ba7,0.11263145991179464,0.5377969762419006,0.06290261462675256,7917,S2
