task,system,configuration_id,mean_macro_f1,b2_lite_delta
S6,A2,S6-R3,0.27042554206817904,-0.08341607700931824
S6,B1 frozen MiniLM,S6-E1-LINEARSVC-BALANCED,0.23638692658802116,-0.04937746152868036
S6,B1 frozen MPNet,S6-E2-LINEARSVC-BALANCED,0.25122460458637236,-0.06421513952751156
S6,B1.5 hybrid,S6-A2-MPNET,0.27762300200842377,-0.09061353694956297
S6,B2-Lite,B2-LITE,0.1870094650595168,0.0
S3,A2,S3-R5,0.4695609417675785,-0.07706828042201945
S3,B1 frozen MiniLM,S3-E1-LINEARSVC-BALANCED,0.43254647002204055,-0.040053808676481506
S3,B1 frozen MPNet,S3-E2-LINEARSVC-BALANCED,0.4603457441169545,-0.06785308277139546
S3,B1.5 hybrid,S3-A2-MPNET,0.4801093613526868,-0.08761670000712773
S3,B2-Lite,B2-LITE,0.39249266134555905,0.0
S2,A2,S2-R3,0.6373364404952657,-0.06726363249882072
S2,B1 frozen MiniLM,S2-E1-LOGREG-BALANCED,0.5673016573243395,0.002771150672105537
S2,B1 frozen MPNet,S2-E2-LINEARSVC-BALANCED,0.5753993345323325,-0.0053265265358875
S2,B1.5 hybrid,S2-A2-MPNET,0.6421618749441099,-0.07208906694766493
S2,B2-Lite,B2-LITE,0.570072807996445,0.0
