epoch,fold,run_id,steps,task,training_loss,training_seconds,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1
1,3,49010e9cb5d1a2f43222,9730,S2,0.627813485672148,1837.2499135840044,0.6560457188690596,0.6748382243628146,0.5711650962526665,0.704544013046191
2,3,49010e9cb5d1a2f43222,9730,S2,0.6126730148679551,2061.9815877920046,0.6364347302987768,0.6767864619913122,0.5606069846409143,0.6882151578617339
3,3,49010e9cb5d1a2f43222,9730,S2,0.6107029462062811,2095.294907083,0.6535993583316623,0.6793209687588604,0.5713137353294176,0.7026152118432288
1,2,497cb665fca83fc5df76,6487,S3,1.0059742848623583,1287.924437083002,0.4848118847756507,0.5060397175725052,0.39732708708226233,0.5309066096421029
2,2,497cb665fca83fc5df76,6487,S3,0.9717720007058448,1352.7990859159981,0.488072951265173,0.5072820056387718,0.3997444388799584,0.5333479840532558
3,2,497cb665fca83fc5df76,6487,S3,0.9672547409378988,1581.696193374999,0.4749884252269662,0.510169127419156,0.3942569238374356,0.5200931301378164
1,1,58a8e1b93f2021507fed,3244,S6,1.703543134520586,919.6335319589998,0.5480539637058262,0.24938068166781666,0.2037672146694246,0.5894015970229947
2,1,58a8e1b93f2021507fed,3244,S6,1.631477682275925,940.8941722500003,0.46981454950652657,0.27365851501254856,0.20011793102383643,0.5361188606737797
3,1,58a8e1b93f2021507fed,3244,S6,1.6176217261577799,876.8248795420004,0.447906717605858,0.2794794983089755,0.19544270335682004,0.518870592753696
1,2,7dd466283fd1259d9ecd,6487,S6,1.6614415422506907,1474.44725775,0.43507055579040604,0.2749886393606869,0.19214360543284426,0.5088796333399113
2,2,7dd466283fd1259d9ecd,6487,S6,1.6037651686339822,1158.2019184580004,0.42315357207560844,0.2779090203231956,0.18628739153353702,0.4997419982710668
3,2,7dd466283fd1259d9ecd,6487,S6,1.5971888483296526,1181.6165704579998,0.4056404372244701,0.2786591739333725,0.17920949546997553,0.48620365731605236
1,1,8842152b57d820ad7fbe,3244,S3,1.0364556893724695,634.194298041999,0.4905682903533906,0.48231596684376493,0.3893849658240409,0.5380478387543284
2,1,8842152b57d820ad7fbe,3244,S3,0.9962301575814163,648.3320960409983,0.4746696911811525,0.48861388549165996,0.38460483533403206,0.5200323810457432
3,1,8842152b57d820ad7fbe,3244,S3,0.9871063215885445,615.5888064579995,0.46436246418338106,0.4945557910598835,0.3814517149798234,0.5105853800339784
1,1,92c148692bd9ee356cce,3244,S2,0.652868746507697,579.7138572919939,0.6586278255332697,0.6519345679718728,0.5688585276044374,0.7036064245740111
2,1,92c148692bd9ee356cce,3244,S2,0.6286813987076797,591.8970289999997,0.6366205030245145,0.6582820338565225,0.5591266877367882,0.6857281167749523
3,1,92c148692bd9ee356cce,3244,S2,0.6235870810641313,596.0139558749943,0.6487384590894619,0.6594665267898799,0.5662795138598964,0.6958100123170728
1,3,9bf7e6667b2ef98ea2fb,9730,S6,1.6427942515032141,1905.1264225409977,0.39103669540806096,0.281521973678198,0.18687064030312747,0.4677061809206323
2,3,9bf7e6667b2ef98ea2fb,9730,S6,1.5961810268944117,1952.7623628750007,0.3777020252656908,0.27917935585002435,0.18009587897528279,0.45787858029629414
3,3,9bf7e6667b2ef98ea2fb,9730,S6,1.5936026191784936,1907.8661017080012,0.38768798877080407,0.2799991438030696,0.1863761963517548,0.4662129186415782
1,3,dce52821e22a2d6eae46,9730,S3,0.9917793469769615,2058.222545208999,0.4650491277321035,0.5199617510565364,0.39404974147379396,0.506800797057738
2,3,dce52821e22a2d6eae46,9730,S3,0.9621465646105705,1966.1230202089973,0.4649087627832364,0.5194641861297925,0.3941686855763558,0.5060872824867181
3,3,dce52821e22a2d6eae46,9730,S3,0.9605725500529742,1769.8836006659985,0.47718066974132745,0.523346820761311,0.40176934521941804,0.5195235819060599
1,2,f78c8e66d066a9c867d0,6487,S2,0.6371413741610498,1200.240078499999,0.6592386818849769,0.6621373149232377,0.5670520697607896,0.7075217366842175
2,2,f78c8e66d066a9c867d0,6487,S2,0.6183941402741457,1211.9177146250004,0.6638283310183787,0.6654480086866827,0.5707870155146477,0.711296337544559
3,2,f78c8e66d066a9c867d0,6487,S2,0.6149985059735146,1208.2526006659973,0.6663043259456086,0.6667338473552813,0.5726251748000208,0.7133130701635189
