class,f1,fold,precision,recall,run_id,support,task
HIGH_IMPACT,0.38349809071767604,3,0.261867628423823,0.7161135545781687,49010e9cb5d1a2f43222,7503,S2
LOWER_IMPACT,0.7591293799411593,3,0.9274325429272281,0.6425283829395521,49010e9cb5d1a2f43222,42367,S2
HIGH,0.36438819172269965,2,0.2479326711356853,0.6871440195280716,497cb665fca83fc5df76,7374,S3
LOW,0.24103254414442948,2,0.17215247143988235,0.40179514255543824,497cb665fca83fc5df76,3788,S3
MEDIUM,0.5773500356451777,2,0.8337173390852493,0.4415682201739582,497cb665fca83fc5df76,38515,S3
blocker,0.13170334148329257,1,0.077217125382263,0.44739756367663347,58a8e1b93f2021507fed,903,S6
critical,0.10568086883876357,1,0.0649134060295061,0.2841100505334082,58a8e1b93f2021507fed,1781,S6
major,0.15471534115601912,1,0.14190051020408162,0.17007452703993886,58a8e1b93f2021507fed,5233,S6
minor,0.14867571778321834,1,0.10409848839021349,0.2600233553912028,58a8e1b93f2021507fed,2569,S6
normal,0.6318809508796267,1,0.8167074164629177,0.5152714932126696,58a8e1b93f2021507fed,38896,S6
trivial,0.0,1,0.0,0.0,58a8e1b93f2021507fed,874,S6
blocker,0.09658639851812649,2,0.05319148936170213,0.5244252873563219,7dd466283fd1259d9ecd,696,S6
critical,0.09025069637883008,2,0.05498235134401303,0.2517091361093847,7dd466283fd1259d9ecd,1609,S6
major,0.15133745682384128,2,0.12764227642276424,0.18583547050700336,7dd466283fd1259d9ecd,5069,S6
minor,0.1455771950821456,2,0.10292307692307692,0.24860646599777034,7dd466283fd1259d9ecd,2691,S6
normal,0.5915052260169097,2,0.8238675877416662,0.46137868362975465,7dd466283fd1259d9ecd,38515,S6
trivial,0.0,2,0.0,0.0,7dd466283fd1259d9ecd,1097,S6
HIGH,0.3650297043624987,1,0.2528981977593765,0.6558039661487938,8842152b57d820ad7fbe,7917,S3
LOW,0.2127493765586035,1,0.1453828948769837,0.3964565785652048,8842152b57d820ad7fbe,3443,S3
MEDIUM,0.5665760640183681,1,0.8250971136352461,0.431406828465652,8842152b57d820ad7fbe,38896,S3
HIGH_IMPACT,0.3771654376742053,1,0.26167629491824146,0.6751294682329165,92c148692bd9ee356cce,7917,S2
LOWER_IMPACT,0.7553935900455875,1,0.913778075762655,0.6438035853468433,92c148692bd9ee356cce,42339,S2
blocker,0.11073563815960488,3,0.06629318394024276,0.3359621451104101,9bf7e6667b2ef98ea2fb,634,S6
critical,0.12236182967890286,3,0.07186264107263432,0.4116022099447514,9bf7e6667b2ef98ea2fb,1810,S6
major,0.1623486341875528,3,0.126079825041006,0.22791065427950188,9bf7e6667b2ef98ea2fb,5059,S6
minor,0.14707078925956063,3,0.10097765363128491,0.27058383233532934,9bf7e6667b2ef98ea2fb,2672,S6
normal,0.5636609080501017,3,0.8259301917972858,0.42781178667773395,9bf7e6667b2ef98ea2fb,38552,S6
trivial,0.012079378774805867,3,0.4375,0.006124234470691163,9bf7e6667b2ef98ea2fb,1143,S6
HIGH,0.3752975773701162,3,0.2544988367124068,0.7143809143009463,dce52821e22a2d6eae46,7503,S3
LOW,0.2563773463821595,3,0.18471852964975147,0.41887287024901704,dce52821e22a2d6eae46,3815,S3
MEDIUM,0.5736331119059785,3,0.8353507292390118,0.43678667773396973,dce52821e22a2d6eae46,38552,S3
HIGH_IMPACT,0.3725349180514024,2,0.2583880283538987,0.6673447247084351,f78c8e66d066a9c867d0,7374,S2
LOWER_IMPACT,0.7727154315486392,2,0.9199203447375294,0.6661229700021275,f78c8e66d066a9c867d0,42303,S2
